date,score,players,mode,time
"2026-09-05, 21:40:47",77,Simon,with_pc,<function MenuManager.end_timer at 0x7a26e29932e0>
"2026-09-05, 21:46:05",80,Simon,with_pc,0:12.367591381072998
"2026-09-05, 21:49:14",76,Simon,with_pc,00:22:783
"2026-09-05, 21:50:35",80,Simon,with_pc,00:19:288
"2026-09-05, 21:51:55",73,Simon,with_pc,10:30:887
"2026-09-06, 10:56:12",73,Simon,with_pc,00:25:009
"2026-09-06, 10:59:02",65,Simon,with_pc,10:29:804
"2026-09-06, 11:00:52",76,Simon,with_pc,00:18:660
"2026-09-06, 11:02:03",76,Simon,with_pc,00:17:731
"2026-09-06, 11:02:49",80,Simon,with_pc,00:20:875
"2026-09-06, 10:59:02",65,Simon,with_pc,01:59:804
"2026-09-06, 10:59:02",65,Simon,with_pc,01:20:804
"2026-09-06, 11:04:19",80,Simon,with_pc,00:13:659
"2026-09-06, 11:06:23",77,Simon,with_pc,00:50:785
"2026-09-06, 11:08:06",80,Simon,with_pc,00:09:882
"2026-09-06, 11:10:30",80,Simon,with_pc,00:13:110
"2026-09-06, 11:11:48",76,Simon,with_pc,00:20:073
"2026-09-06, 11:12:28",80,Simon,with_pc,00:14:881
"2026-09-06, 11:13:58",75,Simon,with_pc,00:28:446
"2026-09-06, 11:18:08",80,Simon,with_pc,00:12:563
"2026-09-06, 11:19:08",79,Simon,with_pc,00:14:494
"2026-09-06, 11:20:02",80,Simon,with_pc,00:13:427
