date,score,players,mode,time
"2026-09-05, 21:49:14",76,Simon,with_pc,00:22:783
"2026-09-05, 21:50:35",80,Simon,with_pc,00:19:288
"2026-09-05, 21:51:55",73,Simon,with_pc,10:30:887
"2026-09-06, 10:56:12",73,Simon,with_pc,00:25:009
"2026-09-06, 10:59:02",65,Simon,with_pc,10:29:804
"2026-09-06, 11:00:52",76,Simon,with_pc,00:18:660
"2026-09-06, 11:02:03",76,Simon,with_pc,00:17:731
"2026-09-06, 11:02:49",80,Simon,with_pc,00:20:875
"2026-09-06, 10:59:02",65,Simon,with_pc,01:59:804
"2026-09-06, 10:59:02",65,Simon,with_pc,01:20:804
"2026-09-06, 11:04:19",80,Simon,with_pc,00:13:659
"2026-09-06, 11:06:23",77,Simon,with_pc,00:50:785
"2026-09-06, 11:08:06",80,Simon,with_pc,00:09:882
"2026-09-06, 11:10:30",80,Simon,with_pc,00:13:110
"2026-09-06, 11:11:48",76,Simon,with_pc,00:20:073
"2026-09-06, 11:12:28",80,Simon,with_pc,00:14:881
"2026-09-06, 11:13:58",75,Simon,with_pc,00:28:446
"2026-09-06, 11:18:08",80,Simon,with_pc,00:12:563
"2026-09-06, 11:19:08",79,Simon,with_pc,00:14:494
"2026-09-06, 11:20:02",80,Simon,with_pc,00:13:427
"2026-09-06, 12:41:04",80,Simon,with_pc,00:13:663
"2026-09-06, 14:25:10",10,Sims&Emi,with_pc,05:31:019
"2026-09-06, 14:55:03",17,Simbat,with_pc,04:18:481
"2026-09-06, 14:56:41",76,PLAYER1,with_pc,00:19:007
"2026-09-06, 14:57:25",76,PLAYER1,with_pc,00:14:619
"2026-09-06, 14:58:06",80,PLAYER1,with_pc,00:13:843
"2026-09-06, 14:58:34",76,PLAYER1,with_pc,00:14:548
"2026-09-06, 17:44:29",77,PLAYER1,with_pc,00:35:995
"2026-09-06, 17:47:53",79,PLAYER1,with_pc,00:29:916
"2026-09-06, 17:55:46",75,PLAYER1,with_pc,00:32:155
"2026-09-06, 18:07:39",20,PLAYER1,with_pc,04:29:661
"2026-09-06, 18:13:46",57,PLAYER1,with_pc,01:41:608
"2026-09-06, 18:16:52",65,PLAYER1,with_pc,00:53:675
"2026-09-06, 18:23:33",68,PLAYER1,with_pc,00:38:680
"2026-09-06, 18:24:59",84,Simsalabim,with_pc,00:28:810
"2026-09-06, 18:29:54",78,PLAYER1,with_pc,00:13:697
"2026-09-06, 18:31:48",66,PLAYER1,with_pc,00:48:187
"2026-09-06, 18:46:36",79,PLAYER1,with_pc,00:13:768
"2026-09-08, 17:41:40",25,Simon64,with_pc,03:47:008
"2026-09-09, 11:48:19",55,PLAYER1,with_pc,01:40:215
"2026-09-09, 13:05:33",36,PLAYER1,with_pc,02:41:082
"2026-09-09, 13:16:34",16,PLAYER1,with_pc,04:22:959
"2026-09-09, 13:21:15",38,PLAYER1,with_pc,02:03:893
"2026-09-09, 13:30:17",6,PLAYER1,with_pc,05:12:830
"2026-09-09, 14:00:55",28,PLAYER1,with_pc,05:22:889
"2026-09-09, 19:02:37",23,PLAYER1,with_pc,04:02:211
"2026-09-10, 16:21:50",35,PLAYER1,with_pc,03:08:463
"2026-09-10, 16:33:51",10,PLAYER1,with_pc,04:05:845
"2026-09-10, 16:38:51",73,PLAYER1,with_pc,00:23:161
"2026-09-10, 16:40:39",65,PLAYER1,with_pc,00:37:469
"2026-09-10, 16:48:27",23,PLAYER1,with_pc,03:08:141
"2026-09-10, 16:52:53",72,PLAYER1,with_pc,00:33:350
"2026-09-10, 16:55:46",74,PLAYER1,with_pc,00:19:357
"2026-09-10, 17:10:59",71,PLAYER1,with_pc,00:23:957
"2026-09-10, 17:29:14",74,PLAYER1,with_pc,00:26:154
"2026-09-11, 16:45:28",17,PLAYER1,with_pc,03:43:109
